Order,Level,Code,Parent,Description,Rulings,This item includes,This item also includes,This item excludes
510132,5,24.33.2,24.33,Ribbed sheets of non alloy steel,,,,
510133,6,24.33.20,24.33.2,Ribbed sheets of non alloy steel,,,,
510134,5,24.33.3,24.33,Sandwich panels of coated steel sheet,,,,
510135,6,24.33.30,24.33.3,Sandwich panels of coated steel sheet,,,,
510136,5,24.33.9,24.33,Sub-contracted operations as part of manufacturing of cold formed or folded products,,,,
510137,6,24.33.99,24.33.9,Sub-contracted operations as part of manufacturing of cold formed or folded products,,,,
510138,4,24.34,24.3,Cold drawn wire,,,,
510139,5,24.34.1,24.34,Cold drawn wire,,,,
510140,6,24.34.11,24.34.1,Cold drawn wire of non alloy steel,,,,
510141,6,24.34.12,24.34.1,Cold drawn wire of stainless steel,,,,
510142,6,24.34.13,24.34.1,Cold drawn wire of other alloy steel,,,,
510143,5,24.34.9,24.34,Sub-contracted operations as part of manufacturing of cold drawn wire,,,,
510144,6,24.34.99,24.34.9,Sub-contracted operations as part of manufacturing of cold drawn wire,,,,
510145,3,24.4,24,Basic precious and other non-ferrous metals,,,,
510146,4,24.41,24.4,Precious metals,,,,
510147,5,24.41.1,24.41,"Silver, unwrought or in semi-manufactured forms, or in powder form",,,,
510148,6,24.41.10,24.41.1,"Silver, unwrought or in semi-manufactured forms, or in powder form",,,,
510149,5,24.41.2,24.41,"Gold, unwrought or in semi-manufactured forms, or in powder form",,,,
510150,6,24.41.20,24.41.2,"Gold, unwrought or in semi-manufactured forms, or in powder form",,,,
510151,5,24.41.3,24.41,"Platinum, unwrought or in semi-manufactured forms, or in powder form",,,,
510152,6,24.41.30,24.41.3,"Platinum, unwrought or in semi-manufactured forms, or in powder form",,,,
510153,5,24.41.4,24.41,"Base metals or silver, clad with gold, not further worked than semi-manufactured",,,,
510154,6,24.41.40,24.41.4,"Base metals or silver, clad with gold, not further worked than semi-manufactured",,,,
510155,5,24.41.5,24.41,"Base metals clad with silver and base metals, silver or gold clad with platinum, not further worked than semi-manufactured",,,,
510156,6,24.41.50,24.41.5,"Base metals clad with silver and base metals, silver or gold clad with platinum, not further worked than semi-manufactured",,,,
510157,5,24.41.9,24.41,Sub-contracted operations as part of manufacturing of precious metals,,,,
510158,6,24.41.99,24.41.9,Sub-contracted operations as part of manufacturing of precious metals,,,,
510159,4,24.42,24.4,Aluminium,,,,
510160,5,24.42.1,24.42,"Aluminium, unwrought; aluminium oxide",,,,
510161,6,24.42.11,24.42.1,"Aluminium, unwrought",,,,
510162,6,24.42.12,24.42.1,"Aluminium oxide, excluding artificial corundum",,,,
510163,5,24.42.2,24.42,Semi-finished products of aluminium or aluminium alloys,,,,
510164,6,24.42.21,24.42.2,Aluminium powders and flakes,,,,
510165,6,24.42.22,24.42.2,"Aluminium bars, rods and profiles",,,,
510166,6,24.42.23,24.42.2,Aluminium wire,,,,
510167,6,24.42.24,24.42.2,"Aluminium plates, sheets and strip, of a thickness > 0,2 mm",,,,
510168,6,24.42.25,24.42.2,"Aluminium foil, of a thickness ≤ 0,2 mm",,,,
510169,6,24.42.26,24.42.2,"Aluminium tubes, pipes and tube or pipe fittings",,,,
510170,5,24.42.9,24.42,Sub-contracted operations as part of manufacturing of aluminium,,,,
510171,6,24.42.99,24.42.9,Sub-contracted operations as part of manufacturing of aluminium,,,,
510172,4,24.43,24.4,"Lead, zinc and tin",,,,
510173,5,24.43.1,24.43,"Lead, zinc and tin, unwrought",,,,
510174,6,24.43.11,24.43.1,"Lead, unwrought",,,,
510175,6,24.43.12,24.43.1,"Zinc, unwrought",,,,
510176,6,24.43.13,24.43.1,"Tin, unwrought",,,,
510177,5,24.43.2,24.43,"Semi-finished products of lead, zinc and tin or their alloys",,,,
510178,6,24.43.21,24.43.2,"Lead plates, sheets, strip and foil; lead powders and flakes",,,,
510179,6,24.43.22,24.43.2,"Zinc dust, powders and flakes",,,,
510180,6,24.43.23,24.43.2,"Zinc bars, rods, profiles and wire; zinc plates, sheets, strip and foil",,,,
510181,6,24.43.24,24.43.2,"Tin bars, rods, profiles and wire",,,,
510182,5,24.43.9,24.43,"Sub-contracted operations as part of manufacturing of lead, zinc and tin",,,,
510183,6,24.43.99,24.43.9,"Sub-contracted operations as part of manufacturing of lead, zinc and tin",,,,
510184,4,24.44,24.4,Copper,,,,
510185,5,24.44.1,24.44,"Copper, unwrought; copper mattes; cement copper",,,,
510186,6,24.44.11,24.44.1,Copper mattes; cement copper,,,,
510187,6,24.44.12,24.44.1,"Copper, unrefined; copper anodes for electrolytic refining",,,,
510188,6,24.44.13,24.44.1,"Refined copper and copper alloys, unwrought; master alloys of copper",,,,
510189,5,24.44.2,24.44,Semi-finished products of copper or copper alloys,,,,
510190,6,24.44.21,24.44.2,Copper powders and flakes,,,,
510191,6,24.44.22,24.44.2,"Copper bars, rods and profiles",,,,
510192,6,24.44.23,24.44.2,Copper wire,,,,
510193,6,24.44.24,24.44.2,"Copper plates, sheets and strip, of a thickness > 0,15 mm",,,,
510194,6,24.44.25,24.44.2,"Copper foil, of a thickness ≤ 0,15 mm",,,,
510195,6,24.44.26,24.44.2,"Copper tubes, pipes and tube or pipe fittings",,,,
510196,5,24.44.9,24.44,Sub-contracted operations as part of manufacturing of copper,,,,
510197,6,24.44.99,24.44.9,Sub-contracted operations as part of manufacturing of copper,,,,
510198,4,24.45,24.4,Other non-ferrous metal,,,,
510199,5,24.45.1,24.45,"Nickel, unwrought; intermediate products of nickel metallurgy",,,,
510200,6,24.45.11,24.45.1,"Nickel, unwrought",,,,
510201,6,24.45.12,24.45.1,"Nickel mattes, nickel oxide sinters and other intermediate products of nickel metallurgy",,,,
510202,5,24.45.2,24.45,Semi-finished products of nickel or nickel alloys,,,,
510203,6,24.45.21,24.45.2,Nickel powders and flakes,,,,
510204,6,24.45.22,24.45.2,"Nickel bars, rods, profiles and wire",,,,
510205,6,24.45.23,24.45.2,"Nickel plates, sheets, strip and foil",,,,
510206,6,24.45.24,24.45.2,"Nickel tubes, pipes and tube or pipe fittings",,,,
510207,5,24.45.3,24.45,"Other non-ferrous metals and articles thereof; cermets; ash and residues, containing metals or metallic compounds",,,,
510208,6,24.45.30,24.45.3,"Other non-ferrous metals and articles thereof: cermets; ash and residues, containing metals or metallic compounds",,,,
510209,5,24.45.9,24.45,Sub-contracted operations as part of manufacturing of other non-ferrous metal,,,,
510210,6,24.45.99,24.45.9,Sub-contracted operations as part of manufacturing of other non-ferrous metal,,,,
510211,4,24.46,24.4,Processed nuclear fuel,,,,
510212,5,24.46.1,24.46,"Natural uranium and its compounds; alloys, dispersions (including cermets), ceramic products and mixtures containing natural uranium or natural uranium compounds",,,,
510213,6,24.46.10,24.46.1,"Natural uranium and its compounds; alloys, dispersions (including cermets), ceramic products and mixtures containing natural uranium or natural uranium compounds",,,,
510214,5,24.46.9,24.46,Sub-contracted operations as part of manufacturing of processed nuclear fuel,,,,
510215,6,24.46.99,24.46.9,Sub-contracted operations as part of manufacturing of processed nuclear fuel,,,,
510216,3,24.5,24,Casting services of metals,,,,
510217,4,24.51,24.5,Casting services of iron,,,,
510218,5,24.51.1,24.51,Casting services of cast iron,,,,
510219,6,24.51.11,24.51.1,Casting services of malleable cast iron,,,,
510220,6,24.51.12,24.51.1,Casting services of spheroidal cast iron,,,,
510221,6,24.51.13,24.51.1,Casting services of grey cast iron,,,,
510222,5,24.51.2,24.51,"Tubes, pipes and hollow profiles of cast-iron",,,,
510223,6,24.51.20,24.51.2,"Tubes, pipes and hollow profiles of cast-iron",,,,
510224,5,24.51.3,24.51,"Tube or pipe fittings, of cast-iron",,,,
510225,6,24.51.30,24.51.3,"Tube or pipe fittings, of cast-iron",,,,
510226,5,24.51.9,24.51,Sub-contracted operations as part of manufacturing of casting of iron,,,,
510227,6,24.51.99,24.51.9,Sub-contracted operations as part of manufacturing of casting of iron,,,,
510228,4,24.52,24.5,Casting services of steel,,,,
510229,5,24.52.1,24.52,Casting services of steel,,,,
510230,6,24.52.10,24.52.1,Casting services of steel,,,,
510231,5,24.52.2,24.52,Tubes and pipes of centrifugally cast-steel,,,,
510232,6,24.52.20,24.52.2,Tubes and pipes of centrifugally cast-steel,,,,
510233,5,24.52.3,24.52,"Tube or pipe fittings, of cast-steel",,,,
510234,6,24.52.30,24.52.3,"Tube or pipe fittings, of cast-steel",,,,
510235,4,24.53,24.5,Casting services of light metals,,,,
510236,5,24.53.1,24.53,Casting services of light metals,,,,
510237,6,24.53.10,24.53.1,Casting services of light metals,,,,
510238,4,24.54,24.5,Casting services of other non-ferrous metals,,,,
510239,5,24.54.1,24.54,Casting services of other non-ferrous metals,,,,
510240,6,24.54.10,24.54.1,Casting services of other non-ferrous metals,,,,
510241,2,25,C,"Fabricated metal products, except machinery and equipment",,,,
510242,3,25.1,25,Structural metal products,,,,
510243,4,25.11,25.1,Metal structures and parts of structures,,,,
510244,5,25.11.1,25.11,Prefabricated buildings of metal,,,,
510245,6,25.11.10,25.11.1,Prefabricated buildings of metal,"This subcategory includes:
- prefabricated buildings, predominantly made of metal, either fully assembled and ready for use or unassembled
- incomplete buildings, whether or not assembled, having the essential character of prefabricated buildings

The buildings can be designed for worksite accommodation, shops, sheds, garages, greenhouses and other purposes.",,,
510246,5,25.11.2,25.11,Structural metal products and parts thereof,,,,
510247,6,25.11.21,25.11.2,Bridges and bridge-sections of iron or steel,,,,
510248,6,25.11.22,25.11.2,Towers and lattice masts of iron or steel,,,,
510249,6,25.11.23,25.11.2,"Other structures and parts of structures, plates, rods, angles, shapes and the like, of iron, steel or aluminium",,,,
510250,5,25.11.9,25.11,Sub-contracted operations as part of manufacturing of metal structures and parts of structures,,,,
510251,6,25.11.99,25.11.9,Sub-contracted operations as part of manufacturing of metal structures and parts of structures,,,,
510252,4,25.12,25.1,Doors and windows of metal,,,,
510253,5,25.12.1,25.12,"Doors, windows and their frames and thresholds for doors, of metal",,,,
510254,6,25.12.10,25.12.1,"Doors, windows and their frames and thresholds for doors, of metal",,,,
510255,5,25.12.9,25.12,Sub-contracted operations as part of manufacturing of doors and windows of metal,,,,
510256,6,25.12.99,25.12.9,Sub-contracted operations as part of manufacturing of doors and windows of metal,,,,
510257,3,25.2,25,"Tanks, reservoirs and containers of metal",,,,
510258,4,25.21,25.2,Central heating radiators and boilers,,,,
510259,5,25.21.1,25.21,Central heating radiators and boilers,,,,
510260,6,25.21.11,25.21.1,"Central heating radiators, not electrically heated, of iron or steel",,,,
510261,6,25.21.12,25.21.1,"Central heating boilers, for producing hot water or low pressure steam",,,,
510262,6,25.21.13,25.21.1,Parts for central heating boilers,,,,
510263,5,25.21.9,25.21,Sub-contracted operations as part of manufacturing of central heating radiators and boilers,,,,
510264,6,25.21.99,25.21.9,Sub-contracted operations as part of manufacturing of central heating radiators and boilers,,,,
510265,4,25.29,25.2,"Other tanks, reservoirs and containers of metal",,,,
510266,5,25.29.1,25.29,"Other tanks, reservoirs and containers of metal",,,,
510267,6,25.29.11,25.29.1,"Reservoirs, tanks, vats and similar containers (other than for compressed or liquefied gas), of iron, steel or aluminium, of a capacity > 300 litres, not fitted with mechanical or thermal equipment)",,,,
510268,6,25.29.12,25.29.1,"Containers for compressed or liquefied gas, of metal",,,,
510269,5,25.29.9,25.29,"Sub-contracted operations as part of manufacturing of tanks, reservoirs and containers of metal",,,,
510270,6,25.29.99,25.29.9,"Sub-contracted operations as part of manufacturing of tanks, reservoirs and containers of metal",,,,
510271,3,25.3,25,"Steam generators, except central heating hot water boilers",,,,
510272,4,25.3,25.3,"Steam generators, except central heating hot water boilers",,,,
510273,5,25.30.1,25.3,Steam generators and parts thereof,,,,
510274,6,25.30.11,25.30.1,Steam or other vapour generating boilers; super-heated water boilers,,,,
510275,6,25.30.12,25.30.1,Auxiliary plant for use with boilers; condensers for steam or other vapour power units,,,,
510276,6,25.30.13,25.30.1,Parts of steam generators,,,,
510277,5,25.30.2,25.3,Nuclear reactors and parts thereof,,,,
510278,6,25.30.21,25.30.2,"Nuclear reactors, except isotope separators",,,,
510279,6,25.30.22,25.30.2,"Parts of nuclear reactors, except isotope separators",,,,
510280,5,25.30.9,25.3,"Sub-contracted operations as part of manufacturing of steam generators, except central heating boilers",,,,
510281,6,25.30.99,25.30.9,"Sub-contracted operations as part of manufacturing of steam generators, except central heating boilers",,,,
510282,3,25.4,25,Weapons and ammunition,,,,
510283,4,25.4,25.4,Weapons and ammunition,,,,
510284,5,25.40.1,25.4,Weapons and ammunition and parts thereof,,,,
510285,6,25.40.11,25.40.1,"Military weapons, other than revolvers, pistols and the like",,,,
510286,6,25.40.12,25.40.1,"Revolvers, pistols, non-military firearms and similar devices",,,,
510287,6,25.40.13,25.40.1,"Bombs, missiles and similar munitions of war; cartridges, other ammunition and projectiles and parts thereof",,,,
510288,6,25.40.14,25.40.1,Parts of military weapons and other arms,,,,
510289,5,25.40.9,25.4,Sub-contracted operations as part of manufacturing of weapons and ammunition,,,,
510290,6,25.40.99,25.40.9,Sub-contracted operations as part of manufacturing of weapons and ammunition,,,,
510291,3,25.5,25,"Forging, pressing, stamping and roll-forming services of metal; powder metallurgy",,,,
510292,4,25.5,25.5,"Forging, pressing, stamping and roll-forming services of metal; powder metallurgy",,,,
510293,5,25.50.1,25.5,"Forging, pressing, stamping and roll forming services of metal",,,,
510294,6,25.50.11,25.50.1,Forging services of metal,"This subcategory also includes:
- cold extrusion services",,,
510295,6,25.50.12,25.50.1,Stamping services of metal,"This subcategory includes:
- stamping services of non-ferrous metals, from drawings",,,
510296,6,25.50.13,25.50.1,Other forming services of metal,,,,
510297,5,25.50.2,25.5,Powder metallurgy,,,,
510298,6,25.50.20,25.50.2,Powder metallurgy,"This subcategory includes:
- production services of metal objects directly from metal powders by heat treatment (sintering) or under pressure
- production services of grinding or cutting parts made of hard metallic carbides",,,
510299,3,25.6,25,Treatment and coating services of metals; machining,,,,
510300,4,25.61,25.6,Treatment and coating services of metals,,,,
510301,5,25.61.1,25.61,Coating services of metal,,,,
510302,6,25.61.11,25.61.1,Metallic coating services of metal,"This subcategory includes:
- metallic coating services by immersion in molten metals
- metallic coating services by thermal spraying
- metallic coating services in zinc, by electrolysis and chemical treatment
- coating services in other metals (nickel, copper, chromium, etc.), by electrolysis and chemical treatment",,,
510303,6,25.61.12,25.61.1,Non-metallic coating services of metal,"This subcategory includes:
- plastic coating processes services
- other coatings services (phosphating, enamelling, etc.)",,,
510304,5,25.61.2,25.61,Other treatment services of metal,,,,
510305,6,25.61.21,25.61.2,"Heat treatment services of metal, other than metallic coating",,,,
510306,6,25.61.22,25.61.2,Other surface treatment services of metal,"This subcategory includes:
- painting, varnishing services
- anodising services
- vapour deposition services
- other metallic surface treatment services","This subcategory excludes:
- vacuum coating services of plastic parts with metal, see 22.29.91",,
510307,4,25.62,25.6,Machining services,,,,
510308,5,25.62.1,25.62,Turning services of metal parts,,,,
510309,6,25.62.10,25.62.1,Turning services of metal parts,"This subcategory includes:
- production services of turned metal parts",,,
510310,5,25.62.2,25.62,Other machining services,,,,
510311,6,25.62.20,25.62.2,Other machining services,"This subcategory includes:
- general mechanical engineering services e.g., boring, milling, eroding, planing, lapping, broaching, levelling, sawing, grinding, sharpening, welding, splicing, etc
- cutting of metal work pieces with laser beam
- grinding and sharpening of metal work pieces, incl. polishing
- forging work unless part of production
- art metalworking, unless part of production
- bending reinforcing steel
- inscribing on metal work pieces with laser beam",,,
510312,3,25.7,25,"Cutlery, tools and general hardware",,,,
510313,4,25.71,25.7,Cutlery,,,,
510314,5,25.71.1,25.71,Cutlery,,,,
510315,6,25.71.11,25.71.1,Knives (except for machines) and scissors and blades thereof,,,,
510316,6,25.71.12,25.71.1,"Razors and razor blades, including razor blade blanks in strips",,,,
510317,6,25.71.13,25.71.1,Other articles of cutlery; manicure or pedicure sets and instruments,,,,
510318,6,25.71.14,25.71.1,"Spoons, forks, ladles, skimmers, cake-servers, fish-knives, butter-knives, sugar tongs and similar kitchen or tableware",,,,
510319,6,25.71.15,25.71.1,"Swords, cutlasses, bayonets, lances and similar arms and parts thereof",,,,
510320,5,25.71.9,25.71,Sub-contracted operations as part of manufacturing of cutlery,,,,
510321,6,25.71.99,25.71.9,Sub-contracted operations as part of manufacturing of cutlery,,,,
510322,4,25.72,25.7,Locks and hinges,,,,
510323,5,25.72.1,25.72,Locks and hinges,,,,
510324,6,25.72.11,25.72.1,"Padlocks, locks used for motor vehicles and for furniture, of base metal",,,,
510325,6,25.72.12,25.72.1,"Other locks, of base metal",,,,
510326,6,25.72.13,25.72.1,"Clasps and frames with clasps, incorporating locks; parts",,,,
510327,6,25.72.14,25.72.1,"Hinges, mountings, fittings and similar articles, suitable for motor vehicles, doors, windows, furniture and the like, of base metal",,,,
510328,5,25.72.9,25.72,Sub-contracted operations as part of manufacturing of locks and hinges,,,,
510329,6,25.72.99,25.72.9,Sub-contracted operations as part of manufacturing of locks and hinges,,,,
510330,4,25.73,25.7,Tools,,,,
510331,5,25.73.1,25.73,"Hand tools of a kind used in agriculture, horticulture or forestry",,,,
510332,6,25.73.10,25.73.1,"Hand tools of a kind used in agriculture, horticulture or forestry",,,,
510333,5,25.73.2,25.73,Hand saws; blades for saws of all kinds,,,,
510334,6,25.73.20,25.73.2,Hand saws; blades for saws of all kinds,,,,
510335,5,25.73.3,25.73,Other hand tools,,,,
510336,6,25.73.30,25.73.3,Other hand tools,,,,
510337,5,25.73.4,25.73,"Interchangeable tools for hand tools, whether or not power-operated, or for machine tools",,,,
510338,6,25.73.40,25.73.4,"Interchangeable tools for hand tools, whether or not power-operated, or for machine tools",,,,
510339,5,25.73.5,25.73,Moulds; moulding boxes for metal foundry; mould bases; moulding patterns,,,,
510340,6,25.73.50,25.73.5,Moulds; moulding boxes for metal foundry; mould bases; moulding patterns,,,,
510341,5,25.73.6,25.73,Other tools,,,,
510342,6,25.73.60,25.73.6,Other tools,,,,
510343,5,25.73.9,25.73,Sub-contracted operations as part of manufacturing of tools,,,,
510344,6,25.73.99,25.73.9,Sub-contracted operations as part of manufacturing of tools,,,,
510345,3,25.9,25,Other fabricated metal products,,,,
510346,4,25.91,25.9,Steel drums and similar containers,,,,
510347,5,25.91.1,25.91,Steel drums and similar containers,,,,
510348,6,25.91.11,25.91.1,"Tanks, casks, drums, cans, boxes and similar containers, for any material (excluding gas), of iron or steel, of a capacity ≥ 50 l but ≤ 300 l, not fitted with mechanical or thermal equipment",,,,
510349,6,25.91.12,25.91.1,"Tanks, casks, drums, cans (except those to be closed by soldering or crimping), boxes and similar containers, for any material (excluding gas), of iron or steel, of a capacity < 50 l, not fitted with mechanical or thermal equipment",,,,
510350,5,25.91.9,25.91,Sub-contracted operations as part of manufacturing of steel drums and similar containers,,,,
510351,6,25.91.99,25.91.9,Sub-contracted operations as part of manufacturing of steel drums and similar containers,,,,
510352,4,25.92,25.9,Light metal packaging,,,,
510353,5,25.92.1,25.92,Light metal packaging,,,,
510354,6,25.92.11,25.92.1,"Cans, of iron or steel, to be closed by soldering or crimping, of a capacity < 50 l",,,,
510355,6,25.92.12,25.92.1,"Aluminium casks, drums, cans, boxes and similar containers, for any material (excluding gas), of a capacity ≤ 300 l",,,,
510356,6,25.92.13,25.92.1,"Crown corks and stoppers, caps and lids, of base metal",,,,
510357,5,25.92.9,25.92,Sub-contracted operations as part of manufacturing of light metal packaging,,,,
510358,6,25.92.99,25.92.9,Sub-contracted operations as part of manufacturing of light metal packaging,,,,
510359,4,25.93,25.9,"Wire products, chain and springs",,,,
510360,5,25.93.1,25.93,"Wire products, chain and springs",,,,
510361,6,25.93.11,25.93.1,"Stranded wire, cables, plaited bands, slings and the like, of iron or steel, not electrically insulated",,,,
510362,6,25.93.12,25.93.1,"Barbed wire, of iron or steel; stranded wire, cables, plaited bands and the like, of copper or aluminium, not electrically insulated",,,,
510363,6,25.93.13,25.93.1,"Cloth, grills, netting and fencing, of iron, steel or copper wire; expanded metal, of iron, steel or copper",,,,
510364,6,25.93.14,25.93.1,"Nails, tacks, drawing pins, staples and similar articles",,,,
510365,6,25.93.15,25.93.1,"Wire, rods, tubes, plates, electrodes, coated or cored with flux material",,,,
510366,6,25.93.16,25.93.1,"Springs and leaves for springs, of iron or steel; copper springs",,,,
510367,6,25.93.17,25.93.1,Chain (except articulated link chain) and parts thereof,,,,
510368,6,25.93.18,25.93.1,"Sewing needles, knitting needles, bodkins, crochet hooks, embroidery stilettos and similar articles for use in the hand, of iron or steel; safety pins and other pins of iron or steel n.e.c.",,,,
510369,5,25.93.9,25.93,"Sub-contracted operations as part of manufacturing of wire products, chain and springs",,,,
510370,6,25.93.99,25.93.9,"Sub-contracted operations as part of manufacturing of wire products, chain and springs",,,,
510371,4,25.94,25.9,Fasteners and screw machine products,,,,
510372,5,25.94.1,25.94,Fasteners and screw machine products,,,,
510373,6,25.94.11,25.94.1,"Threaded fasteners, of iron or steel, n.e.c.",,,,
510374,6,25.94.12,25.94.1,"Non-threaded fasteners, of iron or steel, n.e.c.",,,,
510375,6,25.94.13,25.94.1,"Non-threaded and threaded fasteners, of copper",,,,
510376,5,25.94.9,25.94,Sub-contracted operations as part of manufacturing of fasteners and screw machine products,,,,
510377,6,25.94.99,25.94.9,Sub-contracted operations as part of manufacturing of fasteners and screw machine products,,,,
510378,4,25.99,25.9,Other fabricated metal products n.e.c.,,,,
510379,5,25.99.1,25.99,Metal articles for bathroom and kitchen,,,,
510380,6,25.99.11,25.99.1,"Sinks, wash-basins, baths and other sanitary ware, and parts thereof, of iron, steel, copper or aluminium",,,,
510381,6,25.99.12,25.99.1,"Table, kitchen or household articles and parts thereof, of iron, steel, copper or aluminium",,,,
510382,5,25.99.2,25.99,Other articles of base metal,,,,
510383,6,25.99.21,25.99.2,"Armoured or reinforced safes, strong-boxes and doors and safe deposit lockers for strong-rooms, cash or deed boxes and the like, of base metal",,,,
510384,6,25.99.22,25.99.2,"Paper trays, paper rests, pen trays, office-stamp stands and similar office or desk equipment, of base metal, other than office furniture",,,,
510385,6,25.99.23,25.99.2,"Fittings for loose-leaf binders or files, letter clips and similar office articles, and staples in strips, of base metal",,,,
510386,6,25.99.24,25.99.2,"Statuettes and other ornaments and photograph, picture or similar frames and mirrors, of base metal",,,,
510387,6,25.99.25,25.99.2,"Clasps, frames with clasps, buckles, buckle-clasps, hooks, eyes, eyelets and the like, of base metal, of a kind used for clothing, footwear, awnings, handbags, travel goods or other made-up articles; tubular or bifurcated rivets, of base metal; beads and spangles of base metal",,,,
510388,6,25.99.26,25.99.2,Ships' or boats' propellers and blades thereof,,,,
510389,6,25.99.29,25.99.2,Other articles of base metal n.e.c.,"This subcategory also includes:
- permanent metallic magnets",,,
510390,5,25.99.9,25.99,Sub-contracted operations as part of manufacturing of other fabricated metal products n.e.c.,,,,
510391,6,25.99.99,25.99.9,Sub-contracted operations as part of manufacturing of other fabricated metal products n.e.c.,,,,
510392,2,26,C,"Computer, electronic and optical products","Potentiometers (Manufacture of…)

Problem statement: Potentiometers are electric or electronic components, used for instance in radio receivers, controls. Are potentiometers classified to NACE Rev. 2 class 27.90 (manufacture of other electrical equipment or to NACE Rev. 2 class 26.11 (manufacture of electronic components)?

Solution: Conclusion of the NACE/CPA Task Force 13-15 November 2006. Electrical potentiometers are in 27 and electronic potentiometers are in 26.

Decision date: 15.11.2006",,,
510393,3,26.1,26,Electronic components and boards,,,,
510394,4,26.11,26.1,Electronic components,,,,
510395,5,26.11.1,26.11,"Thermionic, cold cathode or photo-cathode valves and tubes, including cathode ray tubes",,,,
510396,6,26.11.11,26.11.1,Cathode-ray television picture tubes; television camera tubes; other cathode-ray tubes,,,,
510397,6,26.11.12,26.11.1,"Magnetrons, klystrons, microwave tubes and other valve tubes",,,,
510398,5,26.11.2,26.11,Diodes and transistors,,,,
510399,6,26.11.21,26.11.2,"Diodes; transistors; thyristors, diacs and triacs",,,,
510400,6,26.11.22,26.11.2,Semiconductor devices; light-emitting diodes; mounted piezo-electric crystals; parts thereof,"Solar energy equipment (Manufacture of...)

Problem statement: To establish the vocabulary and classification for manufacturing solar energy equipment: solar cells, solar modules, solar panels.

Solution: Conclusion of the NACE/CPA Task Force 13-15 November 2006. 
A) Manufacturing of solar cells (type of semiconductors), used for direct transforming of solar power into electricity, are to be classified in NACE Rev. 2 class 26.11 Manufacture of electronic components;
B) Manufacture of solar modules, being a set of solar cells, would be classified also in NACE Rev. 2 class 26.11;
C) Manufacture of solar collectors, used for direct heating of water via a water exchanger, are to be classified in NACE Rev. 2 class 28.21 Manufacture of ovens, furnaces and furnace burners.

Decision date: 15.11.2006",,,
510401,5,26.11.3,26.11,Electronic integrated circuits,,,,
510402,6,26.11.30,26.11.3,Electronic integrated circuits,,,,
510403,5,26.11.4,26.11,Parts of electronic valves and tubes and of other electronic components n.e.c.,,,,
510404,6,26.11.40,26.11.4,Parts of electronic valves and tubes and of other electronic components n.e.c.,,,,
510405,5,26.11.9,26.11,Services connected with manufacturing of electronic integrated circuits; sub-contracted operations as part of manufacturing of electronic components,,,,
510406,6,26.11.91,26.11.9,Services connected with manufacturing of electronic integrated circuits,"Clarification of content

Problem statement: Distinction 26.11.91 vs. 26.11.99

Solution: Replace “this subcategory includes assembly services of micro assemblies on printed circuits” by “this subcategory includes exclusively assembly services of micro assemblies on printed circuits”.

Decision date: 18.04.2008","This subcategory includes:
- assembly services of micro assemblies on printed circuits",,
510407,6,26.11.99,26.11.9,Sub-contracted operations as part of manufacturing of electronic components,,,,
510408,4,26.12,26.1,Loaded electronic boards,,,,
510409,5,26.12.1,26.12,Loaded printed circuits,,,,
510410,6,26.12.10,26.12.1,Loaded printed circuits,,,,
510411,5,26.12.2,26.12,"Sound, video, network and similar cards for automatic data processing machines",,,,
510412,6,26.12.20,26.12.2,"Sound, video, network and similar cards for automatic data processing machines",,,,
510413,5,26.12.3,26.12,Smart cards,,,,
510414,6,26.12.30,26.12.3,Smart cards,,,,
510415,5,26.12.9,26.12,Services connected with printing of circuits; sub-contracted operations as part of manufacturing of loaded electronic boards,,,,
510416,6,26.12.91,26.12.9,Services connected with printing of circuits,"This subcategory includes:
- etching, coating by varnish and by vapour deposition of printed circuits and semiconductors",,,
510417,6,26.12.99,26.12.9,Sub-contracted operations as part of manufacturing of loaded electronic boards,,,,
510418,3,26.2,26,Computers and peripheral equipment,,,,
510419,4,26.2,26.2,Computers and peripheral equipment,,,,
510420,5,26.20.1,26.2,Computing machinery and parts and accessories thereof,,,,
510421,6,26.20.11,26.20.1,"Portable automatic data processing machines weighing ≤ 10 kg, such as laptop and notebook computers; personal digital assistants and similar computers",,,,
510422,6,26.20.12,26.20.1,"Point-of-sale terminals, ATMs and similar machines capable of being connected to a data processing machine or network",,,,
510423,6,26.20.13,26.20.1,"Digital automatic data processing machines, comprising in the same housing at least a central processing unit and an input and an output unit, whether or not combined",,,,
510424,6,26.20.14,26.20.1,Digital automatic data processing machines presented in the form of systems,,,,
510425,6,26.20.15,26.20.1,"Other digital automatic data processing machines, whether or not containing in the same housing one or two of the following types of units: storage units, input units, output units",,,,
510426,6,26.20.16,26.20.1,"Input or output units, whether or not containing storage units in the same housing",,,,
510427,6,26.20.17,26.20.1,"Monitors and projectors, principally used in an automatic data processing system",,,,
510428,6,26.20.18,26.20.1,"Units performing two or more of the following functions: printing, scanning, copying, faxing",,,,
510429,5,26.20.2,26.2,Storage units and other storage devices,,,,
510430,6,26.20.21,26.20.2,Storage units,,,,
510431,6,26.20.22,26.20.2,Solid-state non-volatile storage devices,,,,
510432,5,26.20.3,26.2,Other units of automatic data processing machines,,,,
510433,6,26.20.30,26.20.3,Other units of automatic data processing machines,,,,
510434,5,26.20.4,26.2,Parts and accessories of computing machines,,,,
510435,6,26.20.40,26.20.4,Parts and accessories of computing machines,,,,
